CGMP;Nome;Longitude;Latitude
6411;Posto Shell Santos Dummont de Franca;-47.4222793579102;-20.5426807403564
6412;Posto Shell Duque City;-46.7061767578125;-23.5489521026611
6413;Posto Shell Hiperion;-46.677417755127;-23.6105155944824
6415;Posto Shell Aguia de Haia;-46.4766006469727;-23.5377807617188
6417;Posto Shell Acc Radial;-46.5607452392578;-23.5375595092773
6418;Posto Shell Chacaras do Coelho;-47.1672439575195;-22.888500213623
6419;Posto Shell Petrodutra;-46.3821182250977;-23.4186706542969
6420;Posto Shell Vitoria;-46.5677185058594;-23.6543788909912
6421;Posto Shell Sao Bernardo;-46.5490036010742;-23.7172203063965
6424;Posto Shell Sigma;-46.999828338623;-22.9801940917969
6425;Posto Shell Perola de Ubatuba;-45.0727272033691;-23.4354629516602
6426;Posto Shell Cassiano Ricardo;-45.911548614502;-23.2231540679932
6428;Posto Shell AJ e AR;-45.4009246826172;-23.6189403533936
6432;Posto Shell Golfe Clube;-43.2552757263184;-22.9929752349854
6433;Posto Shell Lord Barra Sul;-43.4313332;-23.005664
6434;Posto Shell Modelo JMLBG;-43.1931457519531;-22.9511528015137
6435;Posto Shell Catedral;-43.1808853149414;-22.9133396148682
6436;Posto Shell Excede;-43.2034568786621;-22.9669380187988
6437;Posto Shell Importação;-43.223274230957;-22.9854888916016
6438;Posto Shell Hawai Rio;-43.2097702026367;-22.80517578125
6440;Posto Shell Tirol;-43.3330955505371;-22.9369144439697
6442;Posto Shell Grande Amor;-43.4302024841309;-22.6249866485596
6443;Posto Shell Karapito da Beira;-43.5541725158691;-22.8748226165771
6444;Posto Shell Barra Monteiro;-43.565357208252;-22.9238033294678
6445;Posto Shell Portela Dois;-43.671947479248;-22.8927917480469
6446;Posto Shell Amor da Leopoldina;-43.2702178955078;-22.8307247161865
6447;Posto Shell Rocar Rio;-43.3262634277344;-23.0020751953125
6448;Posto Shell Jardim Oceanico;-43.3051567077637;-23.0122833251953
6449;Posto Shell Jardim Oceanico da Barra;-43.3089485168457;-23.0065879821777
6450;Posto Shell Rezende Recreio II;-43.4828147888184;-23.0181465148926
6453;Posto Shell Duck;-43.2962265014648;-22.7948932647705
6454;Posto Shell Viaduto de Morato Eireli;-46.745002746582;-23.2757873535156
6455;Posto Shell Borssato Serrazul;-47.0101890563965;-23.1047992706299
6456;Posto Shell Siqueira e Carbonari;-47.0448684692383;-23.1562004089355
6458;Posto Shell Maramar;-43.5007171630859;-23.0206298828125
6459;Posto Shell Duque Conde Alphaville;-46.8632431030273;-23.484504699707
6461;Posto Shell Brasil Santa Cruz;-43.6580276489258;-22.8885860443115
6462;Posto Shell Estrela;-46.8862380981445;-23.1748504638672
6463;Posto Shell Amigao de Itaborai;-42.8120498657227;-22.7472591400146
6465;Posto Shell Araujo Leite;-49.0669555664063;-22.3283977508545
6466;Posto Shell Nações Bauru;-49.0637054443359;-22.325647354126
6468;Posto Shell Aeroporto Bauru;-49.0520133972168;-22.3437061309814
6469;Posto Shell RodoPosto Maristela;-48.4468612670898;-23.1385593414307
6470;Posto Shell Duque 21 de Moura;-49.0558662414551;-22.3259410858154
6471;Posto Shell Limoeiro;-49.5340995788574;-22.8074131011963
6472;Posto Shell Carbonari;-48.4419021606445;-22.8623027801514
6473;Posto Shell Chalcataya;-43.4737930297852;-23.0165157318115
6474;Posto Shell JPX;-43.3752517700195;-23.0006504058838
6475;Posto Shell 2001;-42.8556632995605;-22.7459888458252
6476;Posto Shell Quinze;-43.4203491210938;-22.80153465271
6477;Posto Shell Arrastao;-43.0044593811035;-22.8710193634033
6478;Posto Shell Gazpark Participaçoes;-43.0285758972168;-22.8598480224609
6479;Posto Shell Meriti;-43.3664588928223;-22.7934303283691
6480;Posto Shell Suina Derivados de Petroleo;-44.0920944213867;-22.4929008483887
6481;Posto Shell Brasil 2000;-43.5168190002441;-22.8603687286377
6484;Posto Shell Argetax Vila Guilherme;-46.6002731323242;-23.5087356567383
6486;Posto Shell Portal de Santana;-46.489185333252;-23.4239234924316
6487;Posto Shell Tasquinha;-46.5430870056152;-22.9667434692383
6489;Posto Shell Flor da Luz;-46.629753112793;-23.533224105835
6490;Posto Shell Progresso Eloy Chaves;-46.9600944519043;-23.1872062683105
6491;Posto Shell Nova Suiça;-47.209602355957;-23.0767574310303
6492;Posto Shell Pavao Castelinho;-47.3460502624512;-23.4162292480469
6494;Posto Shell Gasparzinho;-46.475040435791;-23.5236587524414
6496;Posto Shell Higienopolis Santo Andre;-46.5397529602051;-23.6720561981201
6498;Posto Shell Pistao;-43.3609771728516;-22.9272785186768
6499;Posto Shell Mato Alto;-43.3602752685547;-22.9117012023926
6501;Posto Shell Kalota;-46.5603637695313;-23.529125213623
6502;Posto Shell Europa Empreendimentos;-46.543586730957;-22.9682731628418
6503;Posto Shell Arigato;-46.4838600158691;-23.6246948242188
6504;Posto Shell Delta Mar;-46.481819152832;-24.0266418457031
6505;Posto Shell IATE;-43.1774444580078;-22.9499568939209
6506;Posto Shell Casa Nova;-46.5505561828613;-23.5912017822266
6507;Posto Shell Senhor Barcelona;-49.2314758300781;-25.5141277313232
6508;Posto Shell Malure;-46.5779724121094;-23.5845146179199
6509;Posto Shell Rodovia de Bauru;-49.0714454650879;-22.3120803833008
6510;Posto Shell Manhattam;-50.4377708435059;-21.2285060882568
6511;Posto Shell Reyssol;-48.1795539855957;-21.7790546417236
6512;Posto Shell Trapezio;-46.5426292419434;-23.6027317047119
6514;Posto Shell Quatro Trevo;-45.8832321166992;-23.2049407958984
6516;Posto Shell Campos do Jordao;-45.5866813659668;-22.7345314025879
6521;Posto Shell Duque Moema;-46.6674461364746;-23.6001758575439
6522;Posto Shell Trento;-46.7908515930176;-23.563045501709
